symbol,type,date,price,shares,cost,pnl
600638,sell,2025-01-02,62.2998,0,,0.0
600638,sell,2025-01-03,62.4217,0,,0.0
600638,sell,2025-01-06,60.1053,0,,0.0
600638,sell,2025-01-07,59.008,0,,0.0
600638,sell,2025-01-08,59.4957,0,,0.0
600638,sell,2025-01-09,59.9834,0,,0.0
600638,sell,2025-01-10,59.8615,0,,0.0
600638,sell,2025-01-13,57.4231,0,,0.0
600638,sell,2025-01-14,58.7642,0,,0.0
600638,sell,2025-01-15,60.2272,0,,0.0
600638,sell,2025-01-16,60.1053,0,,0.0
600638,sell,2025-01-17,60.593,0,,0.0
600638,sell,2025-01-20,60.8368,0,,0.0
600638,sell,2025-01-21,61.6902,0,,0.0
600638,sell,2025-01-22,60.4711,0,,0.0
600638,sell,2025-01-23,59.9834,0,,0.0
600638,sell,2025-01-24,60.1053,0,,0.0
600638,sell,2025-01-27,60.2272,0,,0.0
600638,sell,2025-02-05,59.8615,0,,0.0
600638,sell,2025-02-06,60.3491,0,,0.0
600638,sell,2025-02-07,60.9587,0,,0.0
600638,sell,2025-02-10,61.8121,0,,0.0
600638,sell,2025-02-11,63.1532,0,,0.0
600638,sell,2025-02-12,62.6656,0,,0.0
600638,sell,2025-02-13,63.3971,0,,0.0
600638,sell,2025-02-14,63.3971,0,,0.0
600638,sell,2025-02-17,62.9094,0,,0.0
600638,sell,2025-02-18,63.0313,0,,0.0
600638,sell,2025-02-19,61.4464,0,,0.0
600638,sell,2025-02-20,62.056,0,,0.0
600638,sell,2025-02-21,62.1779,0,,0.0
600638,sell,2025-02-24,61.3245,0,,0.0
600638,sell,2025-02-25,61.9341,0,,0.0
600638,sell,2025-02-26,61.9341,0,,0.0
600638,sell,2025-02-27,63.1532,0,,0.0
600638,sell,2025-02-28,62.7875,0,,0.0
600638,sell,2025-03-03,62.056,0,,0.0
600638,sell,2025-03-04,61.5683,0,,0.0
600638,sell,2025-03-05,62.056,0,,0.0
600638,sell,2025-03-06,60.8368,0,,0.0
600638,sell,2025-03-07,62.1779,0,,0.0
600638,sell,2025-03-10,61.4464,0,,0.0
600638,sell,2025-03-11,61.0806,0,,0.0
600638,sell,2025-03-12,61.4464,0,,0.0
600638,sell,2025-03-13,61.0806,0,,0.0
600638,sell,2025-03-14,60.4711,0,,0.0
600638,sell,2025-03-17,62.5437,0,,0.0
600638,sell,2025-03-18,64.0067,0,,0.0
600638,sell,2025-03-19,63.7628,0,,0.0
600638,sell,2025-03-20,63.3971,0,,0.0
600638,sell,2025-03-21,64.982,0,,0.0
600638,sell,2025-03-24,64.0067,0,,0.0
600638,sell,2025-03-25,61.3245,0,,0.0
600638,sell,2025-03-26,61.6902,0,,0.0
600638,sell,2025-03-27,62.7875,0,,0.0
600638,sell,2025-03-28,62.4217,0,,0.0
600638,sell,2025-03-31,61.6902,0,,0.0
600638,sell,2025-04-01,61.0806,0,,0.0
600638,sell,2025-04-02,61.9341,0,,0.0
600638,sell,2025-04-03,61.3245,0,,0.0
600638,sell,2025-04-07,59.008,0,,0.0
600638,sell,2025-04-08,56.5697,0,,0.0
600638,sell,2025-04-09,54.4971,0,,0.0
600638,sell,2025-04-10,57.3012,0,,0.0
600638,sell,2025-04-11,58.8861,0,,0.0
600638,sell,2025-04-14,59.13,0,,0.0
600638,sell,2025-04-15,59.6176,0,,0.0
600638,sell,2025-04-16,58.8861,0,,0.0
600638,sell,2025-04-17,58.5204,0,,0.0
600638,sell,2025-04-18,60.7149,0,,0.0
600638,sell,2025-04-21,60.9587,0,,0.0
600638,sell,2025-04-22,61.4464,0,,0.0
600638,sell,2025-04-23,63.6409,0,,0.0
600638,sell,2025-04-24,62.7875,0,,0.0
600638,sell,2025-04-25,63.8847,0,,0.0
